naics3,subsector,establishments,employees,annual_payroll_usd,payroll_per_emp_usd
311,Food,30503,1652378,89111338000,53929.0
312,Beverage & Tobacco,12373,280521,15870502000,56575.0
313,Textile Mills,1780,83684,4235162000,50609.0
314,Textile Product Mills,5205,105685,4753647000,44979.0
315,Apparel,4733,70315,2784997000,39607.0
316,Leather,1074,25050,1130664000,45136.0
321,Wood Product,13993,446052,24478201000,54877.0
322,Paper,3815,355187,25549869000,71934.0
323,Printing,22651,389036,21674851000,55714.0
324,Petroleum & Coal,2106,100203,12434197000,124090.0
325,Chemical,14601,895729,84133866000,93928.0
326,Plastics & Rubber,11486,812714,47311084000,58214.0
327,Nonmetallic Mineral,14951,407740,26764947000,65642.0
331,Primary Metal,3572,351533,27846535000,79215.0
332,Fabricated Metal,54040,1412586,89649933000,63465.0
333,Machinery,21759,1065431,79857966000,74954.0
334,Computer & Electronic,11285,796802,80267852000,100738.0
335,Electrical Equipment,5366,354037,25367657000,71653.0
336,Transportation Equipment,11564,1655013,130077318000,78596.0
337,Furniture,14606,371164,18476517000,49780.0
339,"Miscellaneous (Medical, etc.)",24004,556575,39440438000,70863.0
