month,commodity,series_id,ppi,ppi_index_2022_01
2021-06-01,Steel & Metal,WPU101,354.9,83.82
2021-07-01,Steel & Metal,WPU101,382.821,90.42
2021-08-01,Steel & Metal,WPU101,395.232,93.35
2021-09-01,Steel & Metal,WPU101,405.663,95.81
2021-10-01,Steel & Metal,WPU101,417.852,98.69
2021-11-01,Steel & Metal,WPU101,433.525,102.39
2021-12-01,Steel & Metal,WPU101,433.252,102.33
2022-01-01,Steel & Metal,WPU101,423.397,100.0
2022-02-01,Steel & Metal,WPU101,394.696,93.22
2022-03-01,Steel & Metal,WPU101,397.639,93.92
2022-04-01,Steel & Metal,WPU101,405.655,95.81
2022-05-01,Steel & Metal,WPU101,424.725,100.31
2022-06-01,Steel & Metal,WPU101,412.324,97.38
2022-07-01,Steel & Metal,WPU101,393.04,92.83
2022-08-01,Steel & Metal,WPU101,374.122,88.36
2022-09-01,Steel & Metal,WPU101,353.075,83.39
2022-10-01,Steel & Metal,WPU101,336.866,79.56
2022-11-01,Steel & Metal,WPU101,327.874,77.44
2022-12-01,Steel & Metal,WPU101,322.678,76.21
2023-01-01,Steel & Metal,WPU101,323.534,76.41
2023-02-01,Steel & Metal,WPU101,332.616,78.56
2023-03-01,Steel & Metal,WPU101,340.753,80.48
2023-04-01,Steel & Metal,WPU101,347.827,82.15
2023-05-01,Steel & Metal,WPU101,356.02,84.09
2023-06-01,Steel & Metal,WPU101,348.799,82.38
2023-07-01,Steel & Metal,WPU101,335.16,79.16
2023-08-01,Steel & Metal,WPU101,331.341,78.26
2023-09-01,Steel & Metal,WPU101,323.71,76.46
2023-10-01,Steel & Metal,WPU101,316.875,74.84
2023-11-01,Steel & Metal,WPU101,314.569,74.3
2023-12-01,Steel & Metal,WPU101,325.503,76.88
2024-01-01,Steel & Metal,WPU101,338.362,79.92
2024-02-01,Steel & Metal,WPU101,344.739,81.42
2024-03-01,Steel & Metal,WPU101,321.137,75.85
2024-04-01,Steel & Metal,WPU101,314.128,74.19
2024-05-01,Steel & Metal,WPU101,314.168,74.2
2024-06-01,Steel & Metal,WPU101,308.611,72.89
2024-07-01,Steel & Metal,WPU101,301.282,71.16
2024-08-01,Steel & Metal,WPU101,295.464,69.78
2024-09-01,Steel & Metal,WPU101,291.516,68.85
2024-10-01,Steel & Metal,WPU101,294.235,69.49
2024-11-01,Steel & Metal,WPU101,297.911,70.36
2024-12-01,Steel & Metal,WPU101,288.188,68.07
2021-06-01,Plastic Resin,WPU066,311.4,102.29
2021-07-01,Plastic Resin,WPU066,320.153,105.16
2021-08-01,Plastic Resin,WPU066,326.872,107.37
2021-09-01,Plastic Resin,WPU066,325.79,107.01
2021-10-01,Plastic Resin,WPU066,326.733,107.32
2021-11-01,Plastic Resin,WPU066,323.232,106.17
2021-12-01,Plastic Resin,WPU066,313.849,103.09
2022-01-01,Plastic Resin,WPU066,304.44,100.0
2022-02-01,Plastic Resin,WPU066,304.632,100.06
2022-03-01,Plastic Resin,WPU066,304.748,100.1
2022-04-01,Plastic Resin,WPU066,316.927,104.1
2022-05-01,Plastic Resin,WPU066,322.403,105.9
2022-06-01,Plastic Resin,WPU066,326.29,107.18
2022-07-01,Plastic Resin,WPU066,319.83,105.06
2022-08-01,Plastic Resin,WPU066,309.932,101.8
2022-09-01,Plastic Resin,WPU066,306.825,100.78
2022-10-01,Plastic Resin,WPU066,299.731,98.45
2022-11-01,Plastic Resin,WPU066,283.819,93.23
2022-12-01,Plastic Resin,WPU066,280.446,92.12
2023-01-01,Plastic Resin,WPU066,275.754,90.58
2023-02-01,Plastic Resin,WPU066,281.969,92.62
2023-03-01,Plastic Resin,WPU066,284.482,93.44
2023-04-01,Plastic Resin,WPU066,289.072,94.95
2023-05-01,Plastic Resin,WPU066,285.861,93.9
2023-06-01,Plastic Resin,WPU066,280.39,92.1
2023-07-01,Plastic Resin,WPU066,270.722,88.92
2023-08-01,Plastic Resin,WPU066,267.608,87.9
2023-09-01,Plastic Resin,WPU066,267.261,87.79
2023-10-01,Plastic Resin,WPU066,266.048,87.39
2023-11-01,Plastic Resin,WPU066,266.482,87.53
2023-12-01,Plastic Resin,WPU066,265.438,87.19
2024-01-01,Plastic Resin,WPU066,262.312,86.16
2024-02-01,Plastic Resin,WPU066,267.951,88.01
2024-03-01,Plastic Resin,WPU066,265.417,87.18
2024-04-01,Plastic Resin,WPU066,268.226,88.1
2024-05-01,Plastic Resin,WPU066,267.898,88.0
2024-06-01,Plastic Resin,WPU066,267.287,87.8
2024-07-01,Plastic Resin,WPU066,271.484,89.17
2024-08-01,Plastic Resin,WPU066,270.614,88.89
2024-09-01,Plastic Resin,WPU066,263.854,86.67
2024-10-01,Plastic Resin,WPU066,267.158,87.75
2024-11-01,Plastic Resin,WPU066,265.272,87.13
2024-12-01,Plastic Resin,WPU066,263.662,86.61
2021-06-01,Semiconductors,PCU334413334413,30.2,99.4
2021-07-01,Semiconductors,PCU334413334413,29.815,98.13
2021-08-01,Semiconductors,PCU334413334413,29.981,98.68
2021-09-01,Semiconductors,PCU334413334413,29.978,98.67
2021-10-01,Semiconductors,PCU334413334413,29.758,97.95
2021-11-01,Semiconductors,PCU334413334413,29.98,98.68
2021-12-01,Semiconductors,PCU334413334413,30.08,99.01
2022-01-01,Semiconductors,PCU334413334413,30.382,100.0
2022-02-01,Semiconductors,PCU334413334413,30.356,99.91
2022-03-01,Semiconductors,PCU334413334413,30.527,100.48
2022-04-01,Semiconductors,PCU334413334413,30.717,101.1
2022-05-01,Semiconductors,PCU334413334413,30.858,101.57
2022-06-01,Semiconductors,PCU334413334413,31.044,102.18
2022-07-01,Semiconductors,PCU334413334413,30.998,102.03
2022-08-01,Semiconductors,PCU334413334413,30.879,101.64
2022-09-01,Semiconductors,PCU334413334413,31.089,102.33
2022-10-01,Semiconductors,PCU334413334413,31.73,104.44
2022-11-01,Semiconductors,PCU334413334413,31.85,104.83
2022-12-01,Semiconductors,PCU334413334413,31.862,104.87
2023-01-01,Semiconductors,PCU334413334413,31.785,104.62
2023-02-01,Semiconductors,PCU334413334413,31.969,105.22
2023-03-01,Semiconductors,PCU334413334413,31.886,104.95
2023-04-01,Semiconductors,PCU334413334413,31.625,104.09
2023-05-01,Semiconductors,PCU334413334413,31.522,103.75
2023-06-01,Semiconductors,PCU334413334413,31.594,103.99
2023-07-01,Semiconductors,PCU334413334413,31.515,103.73
2023-08-01,Semiconductors,PCU334413334413,31.595,103.99
2023-09-01,Semiconductors,PCU334413334413,31.791,104.64
2023-10-01,Semiconductors,PCU334413334413,31.674,104.25
2023-11-01,Semiconductors,PCU334413334413,31.716,104.39
2023-12-01,Semiconductors,PCU334413334413,31.565,103.89
2024-01-01,Semiconductors,PCU334413334413,31.706,104.36
2024-02-01,Semiconductors,PCU334413334413,31.668,104.23
2024-03-01,Semiconductors,PCU334413334413,31.629,104.1
2024-04-01,Semiconductors,PCU334413334413,31.803,104.68
2024-05-01,Semiconductors,PCU334413334413,31.743,104.48
2024-06-01,Semiconductors,PCU334413334413,31.518,103.74
2024-07-01,Semiconductors,PCU334413334413,30.602,100.72
2024-08-01,Semiconductors,PCU334413334413,30.456,100.24
2024-09-01,Semiconductors,PCU334413334413,30.487,100.35
2024-10-01,Semiconductors,PCU334413334413,30.724,101.13
2024-11-01,Semiconductors,PCU334413334413,30.729,101.14
2024-12-01,Semiconductors,PCU334413334413,30.561,100.59
2021-06-01,Electrical/Electronic,WPU117,119.8,95.15
2021-07-01,Electrical/Electronic,WPU117,120.156,95.43
2021-08-01,Electrical/Electronic,WPU117,120.579,95.77
2021-09-01,Electrical/Electronic,WPU117,121.955,96.86
2021-10-01,Electrical/Electronic,WPU117,122.536,97.32
2021-11-01,Electrical/Electronic,WPU117,123.319,97.95
2021-12-01,Electrical/Electronic,WPU117,123.825,98.35
2022-01-01,Electrical/Electronic,WPU117,125.904,100.0
2022-02-01,Electrical/Electronic,WPU117,126.76,100.68
2022-03-01,Electrical/Electronic,WPU117,127.511,101.28
2022-04-01,Electrical/Electronic,WPU117,127.926,101.61
2022-05-01,Electrical/Electronic,WPU117,128.709,102.23
2022-06-01,Electrical/Electronic,WPU117,129.789,103.09
2022-07-01,Electrical/Electronic,WPU117,130.485,103.64
2022-08-01,Electrical/Electronic,WPU117,130.969,104.02
2022-09-01,Electrical/Electronic,WPU117,131.312,104.3
2022-10-01,Electrical/Electronic,WPU117,131.658,104.57
2022-11-01,Electrical/Electronic,WPU117,132.147,104.96
2022-12-01,Electrical/Electronic,WPU117,132.565,105.29
2023-01-01,Electrical/Electronic,WPU117,133.728,106.21
2023-02-01,Electrical/Electronic,WPU117,133.778,106.25
2023-03-01,Electrical/Electronic,WPU117,133.933,106.38
2023-04-01,Electrical/Electronic,WPU117,134.06,106.48
2023-05-01,Electrical/Electronic,WPU117,133.386,105.94
2023-06-01,Electrical/Electronic,WPU117,133.752,106.23
2023-07-01,Electrical/Electronic,WPU117,134.094,106.5
2023-08-01,Electrical/Electronic,WPU117,134.357,106.71
2023-09-01,Electrical/Electronic,WPU117,134.518,106.84
2023-10-01,Electrical/Electronic,WPU117,134.645,106.94
2023-11-01,Electrical/Electronic,WPU117,134.879,107.13
2023-12-01,Electrical/Electronic,WPU117,134.879,107.13
2024-01-01,Electrical/Electronic,WPU117,136.386,108.33
2024-02-01,Electrical/Electronic,WPU117,136.762,108.62
2024-03-01,Electrical/Electronic,WPU117,137.011,108.82
2024-04-01,Electrical/Electronic,WPU117,137.132,108.92
2024-05-01,Electrical/Electronic,WPU117,137.305,109.06
2024-06-01,Electrical/Electronic,WPU117,137.54,109.24
2024-07-01,Electrical/Electronic,WPU117,137.351,109.09
2024-08-01,Electrical/Electronic,WPU117,137.444,109.17
2024-09-01,Electrical/Electronic,WPU117,137.724,109.39
2024-10-01,Electrical/Electronic,WPU117,137.945,109.56
2024-11-01,Electrical/Electronic,WPU117,138.594,110.08
2024-12-01,Electrical/Electronic,WPU117,138.687,110.15
2021-06-01,Freight (Diesel),WPU057303,317.8,86.96
2021-07-01,Freight (Diesel),WPU057303,326.966,89.47
2021-08-01,Freight (Diesel),WPU057303,322.279,88.19
2021-09-01,Freight (Diesel),WPU057303,334.175,91.44
2021-10-01,Freight (Diesel),WPU057303,374.107,102.37
2021-11-01,Freight (Diesel),WPU057303,366.731,100.35
2021-12-01,Freight (Diesel),WPU057303,346.234,94.74
2022-01-01,Freight (Diesel),WPU057303,365.449,100.0
2022-02-01,Freight (Diesel),WPU057303,415.354,113.66
2022-03-01,Freight (Diesel),WPU057303,503.052,137.65
2022-04-01,Freight (Diesel),WPU057303,528.256,144.55
2022-05-01,Freight (Diesel),WPU057303,587.939,160.88
2022-06-01,Freight (Diesel),WPU057303,665.72,182.16
2022-07-01,Freight (Diesel),WPU057303,568.603,155.59
2022-08-01,Freight (Diesel),WPU057303,497.425,136.11
2022-09-01,Freight (Diesel),WPU057303,548.658,150.13
2022-10-01,Freight (Diesel),WPU057303,605.641,165.73
2022-11-01,Freight (Diesel),WPU057303,585.306,160.16
2022-12-01,Freight (Diesel),WPU057303,419.191,114.71
2023-01-01,Freight (Diesel),WPU057303,449.169,122.91
2023-02-01,Freight (Diesel),WPU057303,435.578,119.19
2023-03-01,Freight (Diesel),WPU057303,406.306,111.18
2023-04-01,Freight (Diesel),WPU057303,387.167,105.94
2023-05-01,Freight (Diesel),WPU057303,363.26,99.4
2023-06-01,Freight (Diesel),WPU057303,342.988,93.85
2023-07-01,Freight (Diesel),WPU057303,322.199,88.17
2023-08-01,Freight (Diesel),WPU057303,428.045,117.13
2023-09-01,Freight (Diesel),WPU057303,446.947,122.3
2023-10-01,Freight (Diesel),WPU057303,407.772,111.58
2023-11-01,Freight (Diesel),WPU057303,393.711,107.73
2023-12-01,Freight (Diesel),WPU057303,342.052,93.6
2024-01-01,Freight (Diesel),WPU057303,327.029,89.49
2024-02-01,Freight (Diesel),WPU057303,383.57,104.96
2024-03-01,Freight (Diesel),WPU057303,384.276,105.15
2024-04-01,Freight (Diesel),WPU057303,395.872,108.32
2024-05-01,Freight (Diesel),WPU057303,319.052,87.3
2024-06-01,Freight (Diesel),WPU057303,306.904,83.98
2024-07-01,Freight (Diesel),WPU057303,342.037,93.59
2024-08-01,Freight (Diesel),WPU057303,334.785,91.61
2024-09-01,Freight (Diesel),WPU057303,289.007,79.08
2024-10-01,Freight (Diesel),WPU057303,318.34,87.11
2024-11-01,Freight (Diesel),WPU057303,311.919,85.35
2024-12-01,Freight (Diesel),WPU057303,294.577,80.61
