site_id,site_name,site_type,actual_usd,budget_usd,variance_usd,variance_pct
O-BOS,Boston R&D,Office,77735910.44,77997309.6,-261399.16,-0.3351386879118713
O-CLT,Charlotte Sales,Office,31140677.209999997,31247070.36,-106393.15,-0.34049000041999455
D-REN,Reno DC,DC,43625069.8,42908356.92,716712.88,1.670334012873686
D-MEM,Memphis DC,DC,58434419.56,57294854.94,1139564.62,1.98894756116124
O-CHI,Corporate HQ,Office,103735397.51,102553434.84,1181962.67,1.152533478614396
P-PHX,Phoenix Precision,Plant,92862369.91,91360949.14,1501420.77,1.6433944525896373
P-FRS,Fresno Polymers,Plant,84534135.51,82386445.19,2147690.32,2.6068491182584546
P-GRP,Grand Rapids Machining,Plant,163634364.64,161006296.72,2628067.92,1.6322764845466722
P-TOL,Toledo Metal Works,Plant,161391313.94,157072187.56,4319126.38,2.749771584068718
P-AUS,Austin Electronics,Plant,213540727.18,209185155.3,4355571.88,2.0821610757959936
P-GRN,Greenville Drivetrain,Plant,307141822.46,300684542.43,6457280.03,2.147526433455843
