month,site_id,supplier_id,supplier_name,commodity,category,country,tier,is_single_source,on_contract,qty,market_ppi_index,standard_unit_price,actual_unit_price,baseline_unit_price,actual_spend,standard_spend,ppv_usd,savings_usd
2022-01-01,P-TOL,SUP-STL1,Great Lakes Steel Co.,Steel & Metal,Direct Materials,USA,Strategic,False,True,426480,100.0,1.0478,1.0689,1.0615,455875.2,446885.36,8989.84,-3165.94
2022-01-01,P-TOL,SUP-STL2,Rio Grande Metals,Steel & Metal,Direct Materials,Mexico,Preferred,False,True,193710,100.0,1.0478,1.0982,1.1,212741.76,202978.8,9762.96,340.16
2022-01-01,P-TOL,SUP-STL3,Keystone Alloy Supply,Steel & Metal,Direct Materials,USA,Transactional,False,False,82247,100.0,1.0478,1.1085,1.166,91175.04,86182.88,4992.16,4725.89
2022-01-01,P-TOL,SUP-ELE1,Shenzhen Circuit Works,Electrical/Electronic,Direct Materials,China,Strategic,False,True,38156,100.0,2.2239,2.1904,2.2195,83577.12,84854.8,-1277.68,1110.94
2022-01-01,P-TOL,SUP-ELE2,Lone Star Connectors,Electrical/Electronic,Direct Materials,USA,Preferred,False,True,20146,100.0,2.2239,2.2628,2.3,45587.52,44802.95,784.57,749.17
2022-01-01,P-TOL,SUP-ELE3,Vertex Components,Electrical/Electronic,Direct Materials,USA,Transactional,False,False,9310,100.0,2.2239,2.4482,2.438,22793.76,20705.1,2088.66,-95.02
2022-01-01,P-TOL,SUP-RES1,Gulf Coast Polymers,Plastic Resin,Direct Materials,USA,Strategic,False,True,79500,100.0,0.8966,0.8283,0.8202,65848.64,71283.7,-5435.06,-638.07
2022-01-01,P-TOL,SUP-RES2,Pacific Resin Traders,Plastic Resin,Direct Materials,Taiwan,Preferred,False,True,40720,100.0,0.8966,0.8707,0.85,35456.96,36511.4,-1054.44,-844.78
2022-02-01,P-TOL,SUP-STL1,Great Lakes Steel Co.,Steel & Metal,Direct Materials,USA,Strategic,False,True,399440,93.22,1.0478,1.0009,0.9895,399780.86,418551.63,-18770.77,-4522.2
2022-02-01,P-TOL,SUP-STL2,Rio Grande Metals,Steel & Metal,Direct Materials,Mexico,Preferred,False,True,180817,93.22,1.0478,1.0318,1.0254,186564.4,189468.2,-2903.8,-1150.9
2022-02-01,P-TOL,SUP-STL3,Keystone Alloy Supply,Steel & Metal,Direct Materials,USA,Transactional,False,False,74325,93.22,1.0478,1.0758,1.0869,79956.17,77881.87,2074.3,831.91
2022-02-01,P-TOL,SUP-ELE1,Shenzhen Circuit Works,Electrical/Electronic,Direct Materials,China,Strategic,False,True,32845,100.68,2.2239,2.2314,2.2346,73293.16,73044.89,248.26,103.93
2022-02-01,P-TOL,SUP-ELE2,Lone Star Connectors,Electrical/Electronic,Direct Materials,USA,Preferred,False,True,17521,100.68,2.2239,2.2817,2.3156,39978.09,38965.61,1012.48,595.47
2022-02-01,P-TOL,SUP-ELE3,Vertex Components,Electrical/Electronic,Direct Materials,USA,Transactional,False,False,8121,100.68,2.2239,2.4613,2.4546,19989.04,18060.59,1928.45,-54.81
