month,site_id,units_produced
2022-01-01,P-TOL,46048
2022-02-01,P-TOL,40181
2022-03-01,P-TOL,40555
2022-04-01,P-TOL,39505
2022-05-01,P-TOL,39203
2022-06-01,P-TOL,40921
2022-07-01,P-TOL,38988
2022-08-01,P-TOL,40335
2022-09-01,P-TOL,43999
2022-10-01,P-TOL,46596
2022-11-01,P-TOL,45286
2022-12-01,P-TOL,42792
2023-01-01,P-TOL,45120
2023-02-01,P-TOL,41923
2023-03-01,P-TOL,39336
2023-04-01,P-TOL,37271
2023-05-01,P-TOL,37938
2023-06-01,P-TOL,34830
2023-07-01,P-TOL,37898
2023-08-01,P-TOL,40766
2023-09-01,P-TOL,45454
2023-10-01,P-TOL,45636
2023-11-01,P-TOL,42899
2023-12-01,P-TOL,46184
2024-01-01,P-TOL,43268
2024-02-01,P-TOL,43027
2024-03-01,P-TOL,39752
2024-04-01,P-TOL,36637
2024-05-01,P-TOL,36215
2024-06-01,P-TOL,38145
2024-07-01,P-TOL,40024
2024-08-01,P-TOL,42719
2024-09-01,P-TOL,43212
2024-10-01,P-TOL,44171
2024-11-01,P-TOL,46654
2024-12-01,P-TOL,46056
2022-01-01,P-GRP,28111
2022-02-01,P-GRP,28472
2022-03-01,P-GRP,28562
2022-04-01,P-GRP,27062
2022-05-01,P-GRP,26421
2022-06-01,P-GRP,26289
2022-07-01,P-GRP,28222
2022-08-01,P-GRP,28344
2022-09-01,P-GRP,31628
2022-10-01,P-GRP,29865
2022-11-01,P-GRP,31195
2022-12-01,P-GRP,29749
2023-01-01,P-GRP,28847
2023-02-01,P-GRP,27011
2023-03-01,P-GRP,27271
2023-04-01,P-GRP,27231
2023-05-01,P-GRP,25487
2023-06-01,P-GRP,25417
2023-07-01,P-GRP,27052
2023-08-01,P-GRP,28873
2023-09-01,P-GRP,29542
2023-10-01,P-GRP,29636
2023-11-01,P-GRP,30771
2023-12-01,P-GRP,28570
2024-01-01,P-GRP,29178
2024-02-01,P-GRP,26964
2024-03-01,P-GRP,26242
2024-04-01,P-GRP,26767
2024-05-01,P-GRP,23789
2024-06-01,P-GRP,26824
2024-07-01,P-GRP,25695
2024-08-01,P-GRP,27372
2024-09-01,P-GRP,27739
2024-10-01,P-GRP,27671
2024-11-01,P-GRP,30342
2024-12-01,P-GRP,30559
2022-01-01,P-AUS,19451
2022-02-01,P-AUS,18292
2022-03-01,P-AUS,18305
2022-04-01,P-AUS,17657
2022-05-01,P-AUS,18165
2022-06-01,P-AUS,17799
2022-07-01,P-AUS,18231
2022-08-01,P-AUS,20001
2022-09-01,P-AUS,20174
2022-10-01,P-AUS,21476
2022-11-01,P-AUS,21275
2022-12-01,P-AUS,22673
2023-01-01,P-AUS,22021
2023-02-01,P-AUS,21232
2023-03-01,P-AUS,21469
2023-04-01,P-AUS,21411
2023-05-01,P-AUS,19481
2023-06-01,P-AUS,20413
2023-07-01,P-AUS,22313
2023-08-01,P-AUS,23954
2023-09-01,P-AUS,24107
2023-10-01,P-AUS,25471
2023-11-01,P-AUS,26429
2023-12-01,P-AUS,25264
2024-01-01,P-AUS,24450
2024-02-01,P-AUS,24451
2024-03-01,P-AUS,23440
2024-04-01,P-AUS,23495
2024-05-01,P-AUS,23759
2024-06-01,P-AUS,24388
2024-07-01,P-AUS,24912
2024-08-01,P-AUS,26751
2024-09-01,P-AUS,26154
2024-10-01,P-AUS,27503
2024-11-01,P-AUS,28907
2024-12-01,P-AUS,27514
2022-01-01,P-GRN,58048
2022-02-01,P-GRN,55876
2022-03-01,P-GRN,51368
2022-04-01,P-GRN,52266
2022-05-01,P-GRN,48131
2022-06-01,P-GRN,51055
2022-07-01,P-GRN,53246
2022-08-01,P-GRN,55162
2022-09-01,P-GRN,55403
2022-10-01,P-GRN,57332
2022-11-01,P-GRN,60098
2022-12-01,P-GRN,57581
2023-01-01,P-GRN,54805
2023-02-01,P-GRN,59898
2023-03-01,P-GRN,55454
2023-04-01,P-GRN,51912
2023-05-01,P-GRN,51736
2023-06-01,P-GRN,51000
2023-07-01,P-GRN,51675
2023-08-01,P-GRN,57902
2023-09-01,P-GRN,56256
2023-10-01,P-GRN,59381
2023-11-01,P-GRN,59516
2023-12-01,P-GRN,60123
2024-01-01,P-GRN,55342
2024-02-01,P-GRN,55826
2024-03-01,P-GRN,52420
2024-04-01,P-GRN,50727
2024-05-01,P-GRN,48141
2024-06-01,P-GRN,55722
2024-07-01,P-GRN,55558
2024-08-01,P-GRN,56178
2024-09-01,P-GRN,56424
2024-10-01,P-GRN,60297
2024-11-01,P-GRN,58541
2024-12-01,P-GRN,57170
2022-01-01,P-FRS,27926
2022-02-01,P-FRS,24321
2022-03-01,P-FRS,26647
2022-04-01,P-FRS,22661
2022-05-01,P-FRS,24621
2022-06-01,P-FRS,23901
2022-07-01,P-FRS,24277
2022-08-01,P-FRS,26592
2022-09-01,P-FRS,25945
2022-10-01,P-FRS,28564
2022-11-01,P-FRS,26341
2022-12-01,P-FRS,29328
2023-01-01,P-FRS,27292
2023-02-01,P-FRS,25079
2023-03-01,P-FRS,24887
2023-04-01,P-FRS,25241
2023-05-01,P-FRS,22770
2023-06-01,P-FRS,23736
2023-07-01,P-FRS,24278
2023-08-01,P-FRS,25683
