month,site_id,site_name,site_type,city,state,region,naics3,subsector,headcount,sqft,cost_category,cost_group,actual_usd,budget_usd,variance_usd,variance_pct
2022-01-01,P-TOL,Toledo Metal Works,Plant,Toledo,OH,Midwest,332,Fabricated Metal,420,210000,Direct Labor,COGS,1599318.0,1599318.0,0.0,0.0
2022-01-01,P-TOL,Toledo Metal Works,Plant,Toledo,OH,Midwest,332,Fabricated Metal,420,210000,Indirect Labor,COGS,621957.0,621957.0,0.0,0.0
2022-01-01,P-TOL,Toledo Metal Works,Plant,Toledo,OH,Midwest,332,Fabricated Metal,420,210000,Raw Materials,COGS,1013056.0,1043447.68,-30391.68,-2.91
2022-01-01,P-TOL,Toledo Metal Works,Plant,Toledo,OH,Midwest,332,Fabricated Metal,420,210000,Consumables & Tooling,COGS,134984.46,132137.74,2846.72,2.15
2022-01-01,P-TOL,Toledo Metal Works,Plant,Toledo,OH,Midwest,332,Fabricated Metal,420,210000,Utilities,Overhead,303916.8,224634.16,79282.64,35.29
2022-01-01,P-TOL,Toledo Metal Works,Plant,Toledo,OH,Midwest,332,Fabricated Metal,420,210000,Maintenance & Repair,Overhead,215131.69,198206.61,16925.08,8.54
2022-01-01,P-TOL,Toledo Metal Works,Plant,Toledo,OH,Midwest,332,Fabricated Metal,420,210000,Depreciation,Overhead,198206.61,198206.61,0.0,0.0
2022-01-01,P-TOL,Toledo Metal Works,Plant,Toledo,OH,Midwest,332,Fabricated Metal,420,210000,Facilities,Overhead,92496.42,92496.42,0.0,0.0
2022-01-01,P-TOL,Toledo Metal Works,Plant,Toledo,OH,Midwest,332,Fabricated Metal,420,210000,Freight & Logistics,Overhead,155344.36,154160.7,1183.66,0.77
2022-01-01,P-TOL,Toledo Metal Works,Plant,Toledo,OH,Midwest,332,Fabricated Metal,420,210000,IT & Systems,Overhead,70599.28,66068.87,4530.41,6.86
2022-01-01,P-TOL,Toledo Metal Works,Plant,Toledo,OH,Midwest,332,Fabricated Metal,420,210000,Other Overhead,Overhead,65315.6,66068.87,-753.27,-1.14
2022-02-01,P-TOL,Toledo Metal Works,Plant,Toledo,OH,Midwest,332,Fabricated Metal,420,210000,Direct Labor,COGS,1599318.0,1599318.0,0.0,0.0
2022-02-01,P-TOL,Toledo Metal Works,Plant,Toledo,OH,Midwest,332,Fabricated Metal,420,210000,Indirect Labor,COGS,621957.0,621957.0,0.0,0.0
2022-02-01,P-TOL,Toledo Metal Works,Plant,Toledo,OH,Midwest,332,Fabricated Metal,420,210000,Raw Materials,COGS,888401.91,910501.46,-22099.55,-2.43
2022-02-01,P-TOL,Toledo Metal Works,Plant,Toledo,OH,Midwest,332,Fabricated Metal,420,210000,Consumables & Tooling,COGS,118015.39,115878.51,2136.88,1.84
2022-02-01,P-TOL,Toledo Metal Works,Plant,Toledo,OH,Midwest,332,Fabricated Metal,420,210000,Utilities,Overhead,257757.75,196993.47,60764.28,30.85
2022-02-01,P-TOL,Toledo Metal Works,Plant,Toledo,OH,Midwest,332,Fabricated Metal,420,210000,Maintenance & Repair,Overhead,178218.06,173817.76,4400.3,2.53
2022-02-01,P-TOL,Toledo Metal Works,Plant,Toledo,OH,Midwest,332,Fabricated Metal,420,210000,Depreciation,Overhead,173817.76,173817.76,0.0,0.0
2022-02-01,P-TOL,Toledo Metal Works,Plant,Toledo,OH,Midwest,332,Fabricated Metal,420,210000,Facilities,Overhead,81114.96,81114.96,0.0,0.0
2022-02-01,P-TOL,Toledo Metal Works,Plant,Toledo,OH,Midwest,332,Fabricated Metal,420,210000,Freight & Logistics,Overhead,139434.54,135191.6,4242.94,3.14
2022-02-01,P-TOL,Toledo Metal Works,Plant,Toledo,OH,Midwest,332,Fabricated Metal,420,210000,IT & Systems,Overhead,56663.9,57939.25,-1275.35,-2.2
2022-02-01,P-TOL,Toledo Metal Works,Plant,Toledo,OH,Midwest,332,Fabricated Metal,420,210000,Other Overhead,Overhead,57879.2,57939.25,-60.05,-0.1
2022-03-01,P-TOL,Toledo Metal Works,Plant,Toledo,OH,Midwest,332,Fabricated Metal,420,210000,Direct Labor,COGS,1599318.0,1599318.0,0.0,0.0
2022-03-01,P-TOL,Toledo Metal Works,Plant,Toledo,OH,Midwest,332,Fabricated Metal,420,210000,Indirect Labor,COGS,621957.0,621957.0,0.0,0.0
2022-03-01,P-TOL,Toledo Metal Works,Plant,Toledo,OH,Midwest,332,Fabricated Metal,420,210000,Raw Materials,COGS,901154.41,918976.3,-17821.89,-1.94
2022-03-01,P-TOL,Toledo Metal Works,Plant,Toledo,OH,Midwest,332,Fabricated Metal,420,210000,Consumables & Tooling,COGS,127945.15,117541.88,10403.27,8.85
2022-03-01,P-TOL,Toledo Metal Works,Plant,Toledo,OH,Midwest,332,Fabricated Metal,420,210000,Utilities,Overhead,235071.48,199821.19,35250.29,17.64
2022-03-01,P-TOL,Toledo Metal Works,Plant,Toledo,OH,Midwest,332,Fabricated Metal,420,210000,Maintenance & Repair,Overhead,193990.39,176312.82,17677.57,10.03
2022-03-01,P-TOL,Toledo Metal Works,Plant,Toledo,OH,Midwest,332,Fabricated Metal,420,210000,Depreciation,Overhead,176312.82,176312.82,0.0,0.0
2022-03-01,P-TOL,Toledo Metal Works,Plant,Toledo,OH,Midwest,332,Fabricated Metal,420,210000,Facilities,Overhead,82279.32,82279.32,0.0,0.0
2022-03-01,P-TOL,Toledo Metal Works,Plant,Toledo,OH,Midwest,332,Fabricated Metal,420,210000,Freight & Logistics,Overhead,130239.12,137132.19,-6893.07,-5.03
2022-03-01,P-TOL,Toledo Metal Works,Plant,Toledo,OH,Midwest,332,Fabricated Metal,420,210000,IT & Systems,Overhead,61831.4,58770.94,3060.46,5.21
2022-03-01,P-TOL,Toledo Metal Works,Plant,Toledo,OH,Midwest,332,Fabricated Metal,420,210000,Other Overhead,Overhead,63284.15,58770.94,4513.21,7.68
2022-04-01,P-TOL,Toledo Metal Works,Plant,Toledo,OH,Midwest,332,Fabricated Metal,420,210000,Direct Labor,COGS,1599318.0,1599318.0,0.0,0.0
2022-04-01,P-TOL,Toledo Metal Works,Plant,Toledo,OH,Midwest,332,Fabricated Metal,420,210000,Indirect Labor,COGS,621957.0,621957.0,0.0,0.0
2022-04-01,P-TOL,Toledo Metal Works,Plant,Toledo,OH,Midwest,332,Fabricated Metal,420,210000,Raw Materials,COGS,882211.94,895183.3,-12971.36,-1.45
2022-04-01,P-TOL,Toledo Metal Works,Plant,Toledo,OH,Midwest,332,Fabricated Metal,420,210000,Consumables & Tooling,COGS,112301.67,115071.12,-2769.45,-2.41
2022-04-01,P-TOL,Toledo Metal Works,Plant,Toledo,OH,Midwest,332,Fabricated Metal,420,210000,Utilities,Overhead,194192.52,195620.91,-1428.39,-0.73
2022-04-01,P-TOL,Toledo Metal Works,Plant,Toledo,OH,Midwest,332,Fabricated Metal,420,210000,Maintenance & Repair,Overhead,206234.55,172606.68,33627.87,19.48
2022-04-01,P-TOL,Toledo Metal Works,Plant,Toledo,OH,Midwest,332,Fabricated Metal,420,210000,Depreciation,Overhead,172606.68,172606.68,0.0,0.0
2022-04-01,P-TOL,Toledo Metal Works,Plant,Toledo,OH,Midwest,332,Fabricated Metal,420,210000,Facilities,Overhead,80549.79,80549.79,0.0,0.0
2022-04-01,P-TOL,Toledo Metal Works,Plant,Toledo,OH,Midwest,332,Fabricated Metal,420,210000,Freight & Logistics,Overhead,129441.67,134249.64,-4807.97,-3.58
2022-04-01,P-TOL,Toledo Metal Works,Plant,Toledo,OH,Midwest,332,Fabricated Metal,420,210000,IT & Systems,Overhead,55248.02,57535.56,-2287.54,-3.98
2022-04-01,P-TOL,Toledo Metal Works,Plant,Toledo,OH,Midwest,332,Fabricated Metal,420,210000,Other Overhead,Overhead,50802.33,57535.56,-6733.23,-11.7
2022-05-01,P-TOL,Toledo Metal Works,Plant,Toledo,OH,Midwest,332,Fabricated Metal,420,210000,Direct Labor,COGS,1599318.0,1599318.0,0.0,0.0
2022-05-01,P-TOL,Toledo Metal Works,Plant,Toledo,OH,Midwest,332,Fabricated Metal,420,210000,Indirect Labor,COGS,621957.0,621957.0,0.0,0.0
2022-05-01,P-TOL,Toledo Metal Works,Plant,Toledo,OH,Midwest,332,Fabricated Metal,420,210000,Raw Materials,COGS,879845.12,888339.98,-8494.86,-0.96
