site_id,site_name,site_type,headcount,direct_annual_cost,allocated_corporate,fully_loaded_cost,direct_per_head,loaded_per_head
P-FRS,Fresno Polymers,Plant,240,28178045.17,2368690.4772825437,30546735.647282545,117408.52154166668,127278.0651970106
P-TOL,Toledo Metal Works,Plant,420,53797104.64666667,4522268.621302371,58319373.26796904,128088.3443968254,138855.65063802153
P-PHX,Phoenix Precision,Plant,210,30954123.30333333,2602051.9400436226,33556175.243376955,147400.58715873014,159791.3106827474
P-GRP,Grand Rapids Machining,Plant,360,54544788.21333333,4585120.069431552,59129908.28276488,151513.3005925926,164249.74522990244
O-CLT,Charlotte Sales,Office,55,10380225.736666666,872577.9842479224,11252803.72091459,188731.37703030303,204596.43128935617
D-MEM,Memphis DC,DC,95,19478139.853333335,1637362.8513765447,21115502.70470988,205033.05108771933,222268.4495232619
D-REN,Reno DC,DC,70,14541689.933333332,1222397.1627866507,15764087.096119983,207738.4276190476,225201.24423028546
P-GRN,Greenville Drivetrain,Plant,480,102380607.48666666,8606273.733646274,110986881.22031294,213292.93226388888,231222.6692089853
O-BOS,Boston R&D,Office,120,25911970.146666665,2178200.672322894,28090170.81898956,215933.08455555554,234084.756824913
P-AUS,Austin Electronics,Plant,300,71180242.39333333,5983522.324226294,77163764.71755962,237267.47464444445,257212.54905853208
