supplier_name,spend_usd
Great Lakes Steel Co.,63425161.5
Shenzhen Circuit Works,43922243.44
Continental Freightways,34378378.51
Rio Grande Metals,29598408.72
Gulf Coast Polymers,28245923.45
Fastline Industrial MRO,26892299.72
Lone Star Connectors,23957587.41
Formosa Semiconductor,21809505.37
RedRiver Logistics,18751842.82
Pacific Resin Traders,15209343.33
Keystone Alloy Supply,12685032.3
Vertex Components,11978793.61
QuickHaul Carriers,9375921.41
Toolcraft Supply,6915162.79
Anchor Microelectronics,5452376.39
Sunbelt Facility Parts,4610108.52
